lat,lon,alt,eph,epv,vel,cog,satellites_visible,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,airspeed,groundspeed,heading,throttle,climb,label
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,20844.0,10.0,-0.00127405917737633,-0.0004404009960126132,1.6212877035140991,-0.0002922988496720791,-0.00029877759516239166,-0.0007599376840516925,0.021355926990509033,0.021355926990509033,92.0,27.0,3.589476136767189e-06,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,20351.0,10.0,-0.0012959246523678303,-0.0004533384635578841,1.621290683746338,-0.00032502005342394114,-0.00035847933031618595,-0.0007839100435376167,0.03915955871343613,0.021292049437761307,92.0,38.0,0.03286517411470413,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,20351.0,10.0,-0.0012959246523678303,-0.0004533384635578841,1.621290683746338,-0.00032502005342394114,-0.00035847933031618595,-0.0007839100435376167,0.03915955871343613,0.021292049437761307,92.0,38.0,0.03286517411470413,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,20292.0,10.0,-0.0013160337693989277,-0.00046790350461378694,1.6212974786758423,-0.00028556049801409245,-0.00035693729296326637,-0.0007368203951045871,0.17266204953193665,0.021561015397310257,92.0,42.0,0.17131054401397705,0
-353505339.0,1491759346.0,574650.0,121.0,200.0,0.0,20292.0,10.0,-0.0013160337693989277,-0.00046790350461378694,1.6212974786758423,-0.00028556049801409245,-0.00035693729296326637,-0.0007368203951045871,0.17266204953193665,0.021561015397310257,92.0,42.0,0.17131054401397705,0
-353505339.0,1491759346.0,574710.0,121.0,200.0,0.0,22927.0,10.0,-0.0013333397218957543,-0.0004848748503718525,1.6212968826293945,-0.0002710622502490878,-0.00034732522908598185,-0.0008263943018391728,0.30859947204589844,0.021818486973643303,92.0,48.0,0.3078272044658661,0
-353505339.0,1491759346.0,574710.0,121.0,200.0,0.0,22927.0,10.0,-0.0013333397218957543,-0.0004848748503718525,1.6212968826293945,-0.0002710622502490878,-0.00034732522908598185,-0.0008263943018391728,0.30859947204589844,0.021818486973643303,92.0,48.0,0.3078272044658661,0
-353505339.0,1491759346.0,574710.0,121.0,200.0,0.0,22927.0,10.0,-0.0013333397218957543,-0.0004848748503718525,1.6212968826293945,-0.0002710622502490878,-0.00034732522908598185,-0.0008263943018391728,0.30859947204589844,0.021818486973643303,92.0,48.0,0.3078272044658661,0
-353505339.0,1491759346.0,574780.0,121.0,200.0,0.0,22004.0,10.0,0.0012968330411240458,0.0014742937637493014,1.6213417053222656,0.015178131870925426,0.011464073322713375,-0.00038088811561465263,1.034740924835205,0.019883757457137108,92.0,32.0,1.0345499515533447,0
-353505339.0,1491759346.0,574780.0,121.0,200.0,0.0,22004.0,10.0,0.0012968330411240458,0.0014742937637493014,1.6213417053222656,0.015178131870925426,0.011464073322713375,-0.00038088811561465263,1.034740924835205,0.019883757457137108,92.0,32.0,1.0345499515533447,0
-353505339.0,1491759346.0,574930.0,121.0,200.0,0.0,22083.0,10.0,0.002504812553524971,0.0023799024056643248,1.6214253902435303,-0.0025116836186498404,-0.0033505004830658436,-0.0005727567477151752,1.200284719467163,0.01096379105001688,92.0,35.0,1.2002346515655518,0
-353505339.0,1491759346.0,574930.0,121.0,200.0,0.0,22083.0,10.0,0.002504812553524971,0.0023799024056643248,1.6214253902435303,-0.0025116836186498404,-0.0033505004830658436,-0.0005727567477151752,1.200284719467163,0.01096379105001688,92.0,35.0,1.2002346515655518,0
-353505339.0,1491759346.0,575160.0,121.0,200.0,1.0,22090.0,10.0,0.0006669840076938272,0.0009619862539693713,1.6214572191238403,-0.01018069963902235,-0.0074042947962880135,-0.0007533495081588626,1.2097491025924683,0.0031170565634965897,92.0,41.0,1.2097450494766235,0
-353505339.0,1491759346.0,575160.0,121.0,200.0,1.0,22090.0,10.0,0.0006669840076938272,0.0009619862539693713,1.6214572191238403,-0.01018069963902235,-0.0074042947962880135,-0.0007533495081588626,1.2097491025924683,0.0031170565634965897,92.0,41.0,1.2097450494766235,0
-353505339.0,1491759346.0,575640.0,121.0,200.0,2.0,22042.0,10.0,-0.0015039336867630482,-0.0007037597242742777,1.621459722518921,-0.005456996615976095,-0.0038024503737688065,-0.0008002088870853186,1.4514013528823853,0.002918371232226491,92.0,41.0,1.451398491859436,0
-353505339.0,1491759346.0,575640.0,121.0,200.0,2.0,22042.0,10.0,-0.0015039336867630482,-0.0007037597242742777,1.621459722518921,-0.005456996615976095,-0.0038024503737688065,-0.0008002088870853186,1.4514013528823853,0.002918371232226491,92.0,41.0,1.451398491859436,0
-353505339.0,1491759346.0,575640.0,121.0,200.0,2.0,22042.0,10.0,-0.0015039336867630482,-0.0007037597242742777,1.621459722518921,-0.005456996615976095,-0.0038024503737688065,-0.0008002088870853186,1.4514013528823853,0.002918371232226491,92.0,41.0,1.451398491859436,0
